3608
11641;2;2256;50;219221;13122;3
11701;2;2256;50;219221;13122;-99110571
11761;2;2256;50;219221;13122;-198227924
11821;2;2256;50;219221;13122;-297339326
11881;2;2256;50;219221;13122;-396452544
11941;2;2256;50;219221;13122;-495583896
12001;2;2256;50;219221;13122;-594705242
12061;2;2256;50;219221;13122;-693829318
12121;2;2256;50;219221;13122;-792943785
12181;2;2256;50;219221;13122;-892056372
12241;2;2256;50;219221;13122;-991175858
12301;2;2256;50;219221;13122;-1090299554
12361;2;2256;50;219221;13122;-1189410967
12421;2;2256;50;219221;13122;-1288524424
12481;2;2256;50;219221;13122;-1387642508
12541;2;2256;50;219221;13122;-1486763114
12601;2;2256;50;219221;13122;-1585872890
12661;2;2256;50;219221;13122;-1684987472
12721;2;2256;50;219221;13122;-1784105189
12781;2;2256;50;219221;13122;-1883226247
12841;2;2256;50;219221;13122;-1982338988
12901;2;2256;50;219221;13122;-2081456105
12961;2;2256;50;219221;13122;2114388603
13021;2;2256;50;219221;13122;2015285002
13081;2;2256;50;219221;13122;1916180570
13141;2;2256;50;219221;13122;1817077584
13201;2;2256;50;219221;13122;1717956048
13261;2;2256;50;219221;13122;1618836508
13321;2;2256;50;219221;13122;1519713500
13381;2;2256;50;219221;13122;1420592362
13441;2;2256;50;219221;13122;1321479958
13501;2;2256;50;219221;13122;1222373378
13561;2;2256;50;219221;13122;1123257784
13621;2;2256;50;219221;13122;1024148679
13681;2;2256;50;219221;13122;925038963
13741;2;2256;50;219221;13122;825919645
13801;2;2256;50;219221;13122;726813856
13861;2;2256;50;219221;13122;627708890
13921;2;2256;50;219221;13122;528594843
13981;2;2256;50;219221;13122;429481748
14041;2;2256;50;219221;13122;330376548
14101;2;2256;50;219221;13122;231264463
14161;2;2256;50;219221;13122;132152571
14221;2;2256;50;219221;13122;33034220
14281;2;2256;50;219221;13122;-66078940
14341;2;2256;50;219221;13122;-165192727
14401;2;2256;50;219221;13122;-264307438
14461;2;2256;50;219221;13122;-363422414
14521;2;2256;50;219221;13122;-462529776
14581;2;2256;50;219221;13122;-561658806
14641;2;2256;50;219221;13122;-660776031
14701;2;2256;50;219221;13122;-759881329
14761;2;2256;50;219221;13122;-859005594
14821;2;2256;50;219221;13122;-958122136
14881;2;2256;50;219221;13122;-1057239526
14941;2;2256;50;219221;13122;-1156350235
15001;2;2256;50;219221;13122;-1255476602
15061;2;2256;50;219221;13122;-1354588412
15121;2;2256;50;219221;13122;-1453705423
15181;2;2256;50;219221;13122;-1552819751
15241;2;2256;50;219221;13122;-1651931387
15301;2;2256;50;219221;13122;-1751038409
15361;2;2256;50;219221;13122;-1850152346
15421;2;2256;50;219221;13122;-1949257959
15481;2;2256;50;219221;13122;-2048372314
15541;2;2256;50;219221;13122;-2147480623
15601;2;2256;50;219221;13122;2048372519
15661;2;2256;50;219221;13122;1949262103
15721;2;2256;50;219221;13122;1850143741
15781;2;2256;50;219221;13122;1751024117
15841;2;2256;50;219221;13122;1651893859
15901;2;2256;50;219221;13122;1552776302
15961;2;2256;50;219221;13122;1453648742
16021;2;2256;50;219221;13122;1354532642
16081;2;2256;50;219221;13122;1255416932
16141;2;2256;50;219221;13122;1156307260
16201;2;2256;50;219221;13122;1057194878
16261;2;2256;50;219221;13122;958084144
16321;2;2256;50;219221;13122;858973534
16381;2;2256;50;219221;13122;759856323
16441;2;2256;50;219221;13122;660748905
16501;2;2256;50;219221;13122;561634384
16561;2;2256;50;219221;13122;462525480
16621;2;2256;50;219221;13122;363409067
16681;2;2256;50;219221;13122;264289929
16741;2;2256;50;219221;13122;165175173
16801;2;2256;50;219221;13122;66049976
16861;2;2256;50;219221;13122;-33077302
16921;2;2256;50;219221;13122;-132187701
16981;2;2256;50;219221;13122;-231300834
17041;2;2256;50;219221;13122;-330412516
17101;2;2256;50;219221;13122;-429527957
17161;2;2256;50;219221;13122;-528629865
17221;2;2256;50;219221;13122;-627744699
17281;2;2256;50;219221;13122;-726857869
17341;2;2256;50;219221;13122;-825973759
17401;2;2256;50;219221;13122;-925085074
17461;2;2256;50;219221;13122;-1024202225
17521;2;2256;50;219221;13122;-1123326061
17581;2;2256;50;219221;13122;-1222441357
17641;2;2256;50;219221;13122;-1321561668
17701;2;2256;50;219221;13122;-1420691645
17761;2;2256;50;219221;13122;-1519814888
17821;2;2256;50;219221;13122;-1618927308
17881;2;2256;50;219221;13122;-1718037649
17941;2;2256;50;219221;13122;-1817162364
18001;2;2256;50;219221;13122;-1916275018
18061;2;2256;50;219221;13122;-2015388713
18121;2;2256;50;219221;13122;-2114494100
18181;2;2256;50;219221;13122;2081361663
18241;2;2256;50;219221;13122;1982245444
18301;2;2256;50;219221;13122;1883136496
18361;2;2256;50;219221;13122;1784013429
18421;2;2256;50;219221;13122;1684893007
18481;2;2256;50;219221;13122;1585776742
18541;2;2256;50;219221;13122;1486642580
18601;2;2256;50;219221;13122;1387527770
18661;2;2256;50;219221;13122;1288408074
18721;2;2256;50;219221;13122;1189297183
18781;2;2256;50;219221;13122;1090195680
18841;2;2256;50;219221;13122;991071030
18901;2;2256;50;219221;13122;891960745
18961;2;2256;50;219221;13122;792844126
19021;2;2256;50;219221;13122;693730708
19081;2;2256;50;219221;13122;594614777
19141;2;2256;50;219221;13122;495499985
19201;2;2256;50;219221;13122;396386052
19261;2;2256;50;219221;13122;297274674
19321;2;2256;50;219221;13122;198164359
19381;2;2256;50;219221;13122;99054838
19441;2;2256;50;219221;13122;-56857
19501;2;2256;50;219221;13122;-99166269
19561;2;2256;50;219221;13122;-198276232
19621;2;2256;50;219221;13122;-297402219
19681;2;2256;50;219221;13122;-396518241
19741;2;2256;50;219221;13122;-495634881
19801;2;2256;50;219221;13122;-594742045
19861;2;2256;50;219221;13122;-693858093
19921;2;2256;50;219221;13122;-792992074
19981;2;2256;50;219221;13122;-892101471
20041;2;2256;50;219221;13122;-991220029
20101;2;2256;50;219221;13122;-1090324847
20161;2;2256;50;219221;13122;-1189439064
20221;2;2256;50;219221;13122;-1288558705
20281;2;2256;50;219221;13122;-1387669606
20341;2;2256;50;219221;13122;-1486783432
20401;2;2256;50;219221;13122;-1585899774
20461;2;2256;50;219221;13122;-1685006111
20521;2;2256;50;219221;13122;-1784127670
20581;2;2256;50;219221;13122;-1883250692
20641;2;2256;50;219221;13122;-1982361469
20701;2;2256;50;219221;13122;-2081495508
20761;2;2256;50;219221;13122;2114353461
20821;2;2256;50;219221;13122;2015252266
20881;2;2256;50;219221;13122;1916141306
20941;2;2256;50;219221;13122;1817034836
21001;2;2256;50;219221;13122;1717916541
21061;2;2256;50;219221;13122;1618807207
21121;2;2256;50;219221;13122;1519697227
21181;2;2256;50;219221;13122;1420585367
21241;2;2256;50;219221;13122;1321473024
21301;2;2256;50;219221;13122;1222360117
21361;2;2256;50;219221;13122;1123257810
21421;2;2256;50;219221;13122;1024152787
21481;2;2256;50;219221;13122;925040880
21541;2;2256;50;219221;13122;825932505
21601;2;2256;50;219221;13122;726823150
21661;2;2256;50;219221;13122;627708093
21721;2;2256;50;219221;13122;528590318
21781;2;2256;50;219221;13122;429485674
21841;2;2256;50;219221;13122;330372674
21901;2;2256;50;219221;13122;231259399
21961;2;2256;50;219221;13122;132153258
22021;2;2256;50;219221;13122;33043358
22081;2;2256;50;219221;13122;-66063012
22141;2;2256;50;219221;13122;-165171455
22201;2;2256;50;219221;13122;-264297842
22261;2;2256;50;219221;13122;-363429025
22321;2;2256;50;219221;13122;-462549813
22381;2;2256;50;219221;13122;-561662944
22441;2;2256;50;219221;13122;-660776923
22501;2;2256;50;219221;13122;-759891679
22561;2;2256;50;219221;13122;-859020834
22621;2;2256;50;219221;13122;-958150407
22681;2;2256;50;219221;13122;-1057275606
22741;2;2256;50;219221;13122;-1156390196
22801;2;2256;50;219221;13122;-1255503130
22861;2;2256;50;219221;13122;-1354621490
22921;2;2256;50;219221;13122;-1453727146
22981;2;2256;50;219221;13122;-1552848226
23041;2;2256;50;219221;13122;-1651970994
23101;2;2256;50;219221;13122;-1751092095
23161;2;2256;50;219221;13122;-1850212163
23221;2;2256;50;219221;13122;-1949322034
23281;2;2256;50;219221;13122;-2048446079
23341;2;2256;50;219221;13122;2147411329
23401;2;2256;50;219221;13122;2048300639
23461;2;2256;50;219221;13122;1949182831
23521;2;2256;50;219221;13122;1850079458
23581;2;2256;50;219221;13122;1750964326
23641;2;2256;50;219221;13122;1651838969
23701;2;2256;50;219221;13122;1552722361
23761;2;2256;50;219221;13122;1453619456
23821;2;2256;50;219221;13122;1354504072
23881;2;2256;50;219221;13122;1255390369
23941;2;2256;50;219221;13122;1156272194
24001;2;2256;50;219221;13122;1057151367
24061;2;2256;50;219221;13122;958033456
24121;2;2256;50;219221;13122;858927833
24181;2;2256;50;219221;13122;759810150
24241;2;2256;50;219221;13122;660690350
24301;2;2256;50;219221;13122;561580389
24361;2;2256;50;219221;13122;462467642
24421;2;2256;50;219221;13122;363350726
24481;2;2256;50;219221;13122;264222552
24541;2;2256;50;219221;13122;165096893
24601;2;2256;50;219221;13122;65973714
24661;2;2256;50;219221;13122;-33138016
24721;2;2256;50;219221;13122;-132259864
24781;2;2256;50;219221;13122;-231374721
24841;2;2256;50;219221;13122;-330494532
24901;2;2256;50;219221;13122;-429613388
24961;2;2256;50;219221;13122;-528732474
25021;2;2256;50;219221;13122;-627844337
25081;2;2256;50;219221;13122;-726966959
25141;2;2256;50;219221;13122;-826089185
25201;2;2256;50;219221;13122;-925200999
25261;2;2256;50;219221;13122;-1024330756
25321;2;2256;50;219221;13122;-1123452605
25381;2;2256;50;219221;13122;-1222572418
25441;2;2256;50;219221;13122;-1321684894
25501;2;2256;50;219221;13122;-1420811354
25561;2;2256;50;219221;13122;-1519931987
25621;2;2256;50;219221;13122;-1619041173
