8821	4	3440	126	239705	6969	4	36954	36951	2017	147
8881	4	3416	126	241300	6995	4	37205	37202	2030	148
8941	4	3424	126	242924	7022	4	37463	37460	2044	149
9001	4	3424	126	244607	7050	4	37719	37716	2059	150
9061	4	3592	87	246229	7114	4	37970	37967	2073	151
9121	4	3408	126	247869	7173	4	38217	38214	2086	152
9181	4	3416	126	249517	7200	4	38468	38465	2100	153
9241	4	3416	126	251197	7228	4	38712	38709	2114	154
9301	3	3432	114	252856	7255	4	38957	38954	2128	155
9361	4	3424	126	254493	7282	4	39209	39206	2142	156
9421	3	3424	114	256174	7310	4	39461	39458	2156	157
9481	4	3448	126	257754	7336	4	39707	39704	2169	158
9541	3	3592	75	259371	7383	4	39959	39956	2182	159
9601	4	3592	87	261006	7459	4	40209	40206	2195	160
9661	4	3456	126	262651	7487	4	40458	40455	2208	161
9721	4	3432	126	264348	7515	4	40710	40707	2223	162
9781	4	3416	126	265923	7541	4	40958	40955	2237	163
9841	4	3584	87	267604	7577	4	41211	41208	2250	164
9901	4	3592	87	269268	7628	4	41466	41463	2264	165
9961	4	3568	87	270886	7702	4	41718	41715	2278	166
10021	4	3576	87	272456	7774	4	41969	41966	2292	167
10081	4	3608	87	274007	7845	4	42221	42218	2305	168
10141	4	3448	126	275687	7876	4	42475	42472	2319	169
10201	4	3424	126	277250	7902	4	42728	42725	2332	170
10261	4	3440	126	278932	7930	4	42979	42976	2346	171
10321	4	3440	126	280521	7956	4	43228	43225	2359	172
10381	4	3440	126	282226	7985	4	43483	43480	2372	173
10441	4	3448	126	283898	8013	4	43735	43732	2386	174
10501	4	3592	87	285610	8072	4	43988	43985	2400	175
10561	4	3592	87	287251	8147	4	44238	44235	2413	176
10621	4	3440	126	288874	8189	4	44494	44491	2428	177
10681	4	3416	126	290453	8215	4	44744	44741	2440	178
10741	3	3440	114	292036	8241	4	44998	44995	2453	179
10801	4	3560	87	293737	8308	4	45248	45245	2468	180
10861	4	3544	87	295375	8383	4	45500	45497	2482	181
10921	4	3576	87	297031	8459	4	45751	45748	2496	182
10981	4	3616	87	298638	8532	4	46001	45998	2509	183
11041	4	3584	87	300331	8610	4	46255	46252	2524	184
11101	4	3592	87	301889	8681	4	46504	46501	2536	185
11161	4	3544	87	303556	8758	4	46754	46751	2551	186
11221	4	3560	87	305182	8834	4	47005	47002	2565	187
11281	4	3584	87	306768	8905	4	47256	47253	2577	188
11341	4	3544	87	308428	8980	4	47504	47501	2591	189
11401	4	3464	126	310095	9008	4	47760	47757	2606	190
11461	4	3464	126	311709	9035	4	48015	48012	2618	191
11521	4	3432	126	313374	9062	4	48269	48266	2633	192
11581	4	3424	126	314939	9088	4	48517	48514	2646	193
11641	4	3424	126	316675	9117	4	48769	48766	2660	194
11701	4	3424	126	318312	9144	4	49023	49020	2673	195
11761	4	3568	87	319948	9177	4	49278	49275	2687	196
11821	4	3576	87	321571	9251	4	49529	49526	2700	197
11881	4	3576	87	323194	9326	4	49787	49784	2713	198
11941	3	3592	75	324832	9401	4	50038	50035	2726	199
12001	4	3448	126	326399	9451	4	50290	50287	2739	200
12061	4	3456	126	328045	9478	4	50540	50537	2754	201
12121	3	3440	114	329689	9505	4	50790	50787	2767	202
12181	4	3448	126	331329	9532	4	51045	51042	2780	203
12241	4	3440	126	332995	9560	4	51303	51300	2794	204
12301	4	3456	126	334588	9586	4	51554	51551	2807	205
12361	4	3472	126	336277	9614	4	51800	51797	2822	206
12421	4	3456	126	337848	9640	4	52050	52047	2835	207
12481	3	3440	114	339415	9666	4	52303	52300	2848	208
12541	4	3576	87	341083	9701	4	52558	52555	2862	209
12601	4	3624	87	342717	9766	4	52808	52805	2876	210
12661	4	3592	87	344358	9841	4	53055	53052	2891	211
12721	4	3632	87	345957	9916	4	53308	53305	2904	212
12781	4	3616	87	347644	9993	4	53558	53555	2917	213
12841	3	3624	75	349297	10069	4	53808	53805	2932	214
12901	4	3592	87	350928	10134	4	54058	54055	2946	215
12961	4	3592	87	352599	10212	4	54310	54307	2959	216
13021	4	3472	126	354180	10239	4	54558	54555	2972	217
13081	4	3608	87	355825	10310	4	54803	54800	2986	218
13141	3	3608	75	357495	10388	4	55058	55055	3000	219
13201	4	3592	87	359107	10461	4	55311	55308	3015	220
13261	4	3448	126	360710	10517	4	55563	55560	3028	221
13321	4	3600	87	362312	10546	4	55812	55809	3042	222
13381	4	3600	87	363981	10622	4	56063	56060	3055	223
13441	3	3592	75	365576	10696	4	56311	56308	3068	224
13501	4	3608	87	367202	10771	4	56564	56561	3082	225
13561	3	3592	75	368800	10844	4	56814	56811	3094	226
13621	4	3568	87	370453	10921	4	57067	57064	3107	227
13681	4	3592	87	372149	11000	4	57318	57315	3121	228
13741	4	3600	87	373710	11072	4	57572	57569	3134	229
13801	4	3592	87	375389	11150	4	57825	57822	3149	230
13861	3	3616	75	376973	11221	4	58074	58071	3162	231
13921	3	3600	75	378641	11297	4	58325	58322	3176	232
13981	4	3592	87	380268	11372	4	58581	58578	3190	233
14041	4	3600	87	381891	11447	4	58832	58829	3203	234
14101	4	3424	126	383477	11474	4	59083	59080	3217	235
14161	3	3432	114	385058	11500	4	59331	59328	3230	236
14221	4	3424	126	386753	11528	4	59581	59578	3245	237
14281	3	3440	114	388328	11554	4	59826	59823	3258	238
14341	3	3592	75	389957	11627	4	60078	60075	3272	239
14401	4	3592	87	391509	11696	4	60331	60328	3285	240
14461	4	3480	126	393166	11724	4	60583	60580	3300	241
14521	4	3448	126	394811	11751	4	60838	60835	3313	242
14581	4	3576	87	396509	11799	4	61089	61086	3327	243
14641	4	3576	87	398193	11875	4	61341	61338	3341	244
14701	3	3592	75	399809	11949	4	61591	61588	3354	245
14761	3	3584	75	401497	12030	4	61842	61839	3369	246
14821	4	3576	87	403132	12105	4	62093	62090	3382	247
14881	4	3608	87	404761	12179	4	62348	62345	3395	248
14941	4	3576	87	406348	12251	4	62596	62593	3408	249
15001	4	3600	87	407967	12328	4	62847	62844	3421	250
15061	4	3576	87	409658	12405	4	63101	63097	3436	251
15121	4	3592	87	411291	12480	4	63353	63349	3449	252
15181	4	3592	87	412929	12556	4	63607	63603	3463	253
15241	4	3568	87	414628	12634	4	63856	63852	3478	254
15301	4	3568	87	416339	12715	4	64104	64100	3491	255
15361	4	3568	87	417954	12790	4	64352	64348	3504	256
15421	4	3560	87	419597	12864	4	64601	64597	3517	257
15481	4	3560	87	421308	12941	4	64852	64848	3532	258
15541	3	3592	75	422968	13018	4	65101	65096	3545	259
15601	3	3400	114	424566	13078	4	65350	65345	3558	260
15661	4	3432	126	426209	13105	4	65603	65598	3573	261
15721	4	3448	126	427880	13133	4	65850	65845	3586	262
15781	4	3432	126	429517	13160	4	66098	66093	3599	263
15841	4	3424	126	431112	13219	4	66346	66341	3612	264
15901	4	3576	87	432772	13272	4	66599	66594	3626	265
15961	4	3448	126	434413	13300	4	66851	66846	3641	266
16021	4	3440	126	436051	13327	4	67107	67101	3655	267
16081	3	3432	114	437690	13354	4	67356	67350	3669	268
16141	4	3456	126	439350	13381	4	67610	67604	3684	269
16201	3	3456	114	440984	13408	4	67864	67858	3697	270
16261	3	3464	114	442686	13436	4	68117	68111	3711	271
16321	3	3456	114	444264	13462	4	68368	68362	3724	272
16381	4	3408	126	445913	13489	4	68620	68614	3739	273
16441	3	3416	114	447440	13514	4	68873	68867	3750	274
16501	4	3448	126	449141	13542	4	69121	69114	3765	275
16561	4	3440	126	450827	13570	4	69368	69361	3779	276
16621	4	3456	126	452506	13598	4	69620	69613	3794	277
16681	3	3440	114	454092	13624	4	69872	69865	3806	278
16741	4	3440	126	455719	13651	4	70123	70116	3819	279
16801	3	3592	75	457376	13691	4	70372	70365	3832	280
16861	4	3456	126	459021	13719	4	70624	70617	3847	281
16921	4	3456	126	460623	13745	4	70873	70866	3859	282
16981	4	3424	126	462237	13772	4	71123	71116	3873	283
17041	4	3424	126	463935	13800	4	71378	71371	3886	284
17101	4	3416	126	465566	13827	4	71626	71619	3899	285
17161	4	3576	87	467243	13877	4	71879	71872	3913	286
17221	3	3584	75	468844	13952	4	72126	72119	3925	287
17281	4	3600	87	470555	14031	4	72378	72371	3940	288
17341	3	3592	75	472151	14105	4	72630	72623	3953	289
17401	4	3608	87	473837	14181	4	72886	72879	3968	290
17461	4	3592	87	475418	14253	4	73135	73128	3981	291
17521	4	3584	87	477044	14327	4	73386	73379	3995	292
17581	4	3592	87	478597	14397	4	73638	73631	4008	293
17641	3	3624	75	480183	14470	4	73887	73880	4021	294
17701	3	3624	75	481809	14545	4	74138	74131	4035	295
17761	4	3616	87	483424	14619	4	74391	74384	4049	296
17821	4	3608	87	485058	14693	4	74637	74630	4063	297
17881	4	3576	87	486757	14772	4	74891	74884	4076	298
17941	4	3608	87	488410	14847	4	75143	75136	4089	299
18001	4	3616	87	489966	14919	4	75397	75390	4103	300
18061	3	3608	75	491545	14991	4	75646	75639	4116	301
18121	3	3592	75	493181	15067	4	75898	75891	4129	302
18181	4	3576	87	494788	15141	4	76147	76140	4143	303
18241	4	3576	87	496416	15216	4	76397	76390	4155	304
18301	3	3600	75	498018	15290	4	76648	76641	4169	305
18361	3	3584	75	499588	15361	4	76900	76893	4182	306
18421	4	3424	126	501259	15394	4	77150	77143	4196	307
18481	4	3584	87	502878	15429	4	77397	77390	4209	308
18541	4	3592	87	504548	15505	4	77649	77642	4223	309
18601	3	3600	75	506243	15584	4	77902	77895	4237	310
18661	4	3440	126	507830	15611	4	78150	78143	4251	311
18721	4	3424	126	509572	15640	4	78410	78403	4267	312
18781	4	3576	87	511186	15693	4	78658	78651	4279	313
18841	2	3448	102	512829	15721	4	78912	78905	4292	314
18901	4	3432	126	514464	15748	4	79165	79158	4307	315
18961	4	3424	126	516027	15774	4	79417	79410	4320	316
19021	4	3440	126	517663	15801	4	79664	79657	4335	317
19081	4	3440	126	519338	15829	4	79919	79912	4349	318
19141	4	3424	126	520970	15856	4	80170	80163	4363	319
19201	3	3568	75	522639	15923	4	80423	80416	4377	320
19261	4	3592	87	524303	16000	4	80675	80668	4390	321
19321	4	3584	87	525965	16076	4	80926	80919	4404	322
19381	4	3560	87	527559	16148	4	81178	81171	4418	323
19441	3	3608	75	529126	16221	4	81430	81423	4431	324
19501	3	3592	75	530709	16293	4	81685	81678	4445	325
19561	4	3568	87	532398	16372	4	81933	81926	4460	326
19621	3	3440	114	534000	16439	4	82184	82177	4473	327
19681	3	3448	114	535589	16483	4	82429	82422	4487	328
19741	4	3456	126	537286	16511	4	82684	82677	4502	329
19801	4	3448	126	538960	16539	4	82937	82930	4516	330
19861	4	3456	126	540624	16566	4	83190	83183	4530	331
19921	4	3432	126	542193	16592	4	83440	83433	4543	332
19981	3	3440	114	543881	16620	4	83691	83684	4556	333
20041	4	3424	126	545521	16647	4	83943	83936	4570	334
20101	3	3440	114	547167	16674	4	84193	84186	4583	335
20161	4	3432	126	548878	16702	4	84446	84439	4598	336
20221	4	3424	126	550488	16729	4	84695	84688	4612	337
20281	4	3424	126	552116	16756	4	84949	84942	4626	338
20341	4	3408	126	553683	16782	4	85202	85195	4639	339
20401	3	3456	114	555375	16810	4	85455	85448	4652	340
20461	4	3440	126	557023	16837	4	85711	85704	4667	341
20521	4	3456	126	558556	16862	4	85958	85951	4680	342
20581	4	3424	126	560164	16889	4	86211	86204	4694	343
20641	3	3464	114	561852	16917	4	86462	86455	4707	344
20701	4	3568	87	563476	16981	4	86711	86704	4720	345
20761	4	3432	126	565126	17011	4	86962	86955	4734	346
20821	4	3424	126	566701	17037	4	87212	87205	4746	347
20881	4	3448	126	568325	17064	4	87464	87457	4760	348
20941	4	3448	126	569956	17091	4	87712	87705	4773	349
21001	3	3432	114	571656	17119	4	87964	87957	4788	350
21061	4	3456	126	573291	17146	4	88214	88207	4802	351
21121	4	3432	126	574913	17173	4	88467	88460	4816	352
21181	2	3464	102	576544	17200	4	88719	88712	4830	353
21241	3	3440	114	578238	17228	4	88974	88967	4844	354
21301	3	3448	114	579865	17255	4	89221	89214	4857	355
21361	4	3440	126	581502	17282	4	89474	89467	4871	356
21421	4	3424	126	583195	17310	4	89725	89718	4886	357
